Organisation.1,Relationship,Organisation.2
Concern Worldwide,provides transaction funding to,GOAL
United Nations Central Emergency Response Fund (CERF),receives activity funding from,Ministère de l'Economie et des Finances du Bénin
The Global Alliance for Improved Nutrition,receives activity funding from,Switzerland - Swiss Agency for Development and Cooperation (SDC)
Malaria Consortium,receives transaction funding from,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
Danish Refugee Council,receives activity funding from,European Commission - Humanitarian Aid & Civil Protection
Mukisa Foundation,is accountable to,Viva
Académie de recherche et d'enseignement supérieur,has project implemented by,Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS)
Practical Action,receives transaction funding from,Germany - Ministry for Economic Cooperation and Development
ECDPM,receives transaction funding from,Caritas International (Belgium)
"UK - Foreign, Commonwealth and Development Office",has project implemented by,AWEPA
Cordaid,has project implemented by,ZOA
ChildHope UK,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Amref Flying Doctors,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
International Labour Organization (ILO),receives activity funding from,Ireland - Department of Foreign Affairs and Trade
UN Pooled Funds,receives activity funding from,Canada Department of Finance / Ministère des Finances Canada
ACTIONAID INTERNATIONAL KENYA,receives transaction funding from,ActionAid UK
Stichting Beheer Subsidiegelden DRA,provides transaction funding to,CARE Nederland
War Child UK,has project implemented by,War Child Holland
War Child Holland,receives transaction funding from,CARE Nederland
Trocaire,has project implemented by,Karuna Mission Social Solidarity - KMSS
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Ecorys Nederland B.V.
Girls’ Education Challenge – Fund Manager PwC,has project implemented by,ACTED
International Planned Parenthood Federation,provides transaction funding to,Frontline AIDS
"UK - Foreign, Commonwealth and Development Office",has project implemented by,UN Women
Education Development Trust,provides transaction funding to,Ananda Marga Universal Relief Team (AMURT) Africa
War Child Holland,receives transaction funding from,Plan International UK
LTS International Limited,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
United Nations Children's Fund (UNICEF),receives activity funding from,Canada - International Development Research Centre/Centre de recherches pour le développement international
Mulanje Mission Hospital,receives transaction funding from,EMMS International
Cordaid,receives activity funding from,Catholic Relief Services
Girls’ Education Challenge – Fund Manager PwC,provides transaction funding to,BRAC International
International Fertilizer Development Center,receives activity funding from,Netherlands - Ministry of Foreign Affairs
The Global Alliance for Improved Nutrition,receives activity funding from,Hivos
International Organization for Migration (IOM),receives transaction funding from,Spain - Ministry of Foreign Affairs and Cooperation
ICCO Cooperation,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,provides transaction funding to,Send a Cow
Stichting Vluchteling,receives transaction funding from,Save the Children Netherlands
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,receives activity funding from,Belgian Development Cooperation
HelpAge International,receives activity funding from,United Nations High Commissioner for Refugees (UNHCR)
MannionDaniels,has project implemented by,Amref Health Africa in Ethiopia
Global Antibiotic Research and Development Partnership,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Association CHS Alliance,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
International Organization for Migration (IOM),receives activity funding from,Switzerland - Swiss Agency for Development and Cooperation (SDC)
Belgian Development Cooperation,provides transaction funding to,Institute of Tropical Medicine
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",has project implemented by,ICF Consulting Services Ltd
World Vision UK,has budget/direction managed by,Save the Children UK
UN Pooled Funds,receives activity funding from,United States
Institute of Development Studies,has project implemented by,Overseas Development Institute
Plan International Netherlands,receives transaction funding from,Save the Children Netherlands
United Nations Central Emergency Response Fund (CERF),receives transaction funding from,Finland - Ministry for Foreign Affairs
International Planned Parenthood Federation,receives transaction funding from,Australia - Department of  Foreign Affairs and Trade
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Agence Française de Développement
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Defence for Children International Netherlands - ECPAT Netherlands
Netherlands - Ministry of Foreign Affairs,has project implemented by,United Nations World Food Programme (WFP)
"Sweden, through Swedish International Development Cooperation Agency (Sida)",has project implemented by,UN-Habitat
Education Development Trust,receives transaction funding from,Girls’ Education Challenge – Fund Manager PwC
WASH Alliance International,receives transaction funding from,Simavi
Overseas Development Institute,receives activity funding from,African Development Bank
Carbon Trust Advisory Ltd,has project implemented by,GOGLA - Global Off-Grid Lighting Association
CARE Nederland,receives activity funding from,Stichting Vluchteling
ECDPM,receives transaction funding from,MDF Global
MannionDaniels,provides transaction funding to,Women for Women International (UK)
Bond,has project implemented by,Oxfam GB
Railway Children Africa,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
World Vision Netherlands,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Commune de Kpomassè - Bénin,receives transaction funding from,Ministère de l'Economie et des Finances du Bénin
International Labour Organization (ILO),receives transaction funding from,Agence Française de Développement
Saferworld,receives activity funding from,Finland - Ministry for Foreign Affairs
DAI Europe,provides transaction funding to,Nathan Associates London Ltd.
United Nations Central Emergency Response Fund (CERF),receives transaction funding from,Norad - Norwegian Agency for Development Cooperation
World Resources Institute,provides transaction funding to,Mzumbe University
Plan International UK,provides transaction funding to,Handicap International UK
United Nations Development Programme (UNDP),receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Royal Institute of International Affairs,receives transaction funding from,Conciliation Resources
MannionDaniels,provides transaction funding to,SOS Sahel International UK
MSI Reproductive Choices,provides transaction funding to,Makerere University School of Public Health
"UK - Foreign, Commonwealth and Development Office",has project implemented by,UK - Ministry of Defence
Amnesty International UK Section Charitable Trust,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
SOS Children's Villages The Netherlands,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Save the Children International,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
